,dates,postcode,street,title,Year
57,02nd April - 05th January 2019,W1T 7AQ,268-269 Tottenham Court Road,"
Bat Out Of Hell - The Musical ",2018
58,03rd April - 06th May 2018,NW1 8EH,Chalk Farm Road,"
Roundhouse CircusFest ",2018
59,05th April - 30th June 2018,WC2N 4BG,St Martins Lane,"
The Moderate Soprano ",2018
60,04th - 28th April 2018,SE1 7NN,10 Leake Street,"
Underground Bingo Academy ",2018
61,06th - 21st April 2018,EC2Y 8DS,Silk Street,"
Cheek by Jowl: Pericles ",2018
62,06th - 10th April 2018,SE10 0BB,Peninsula Square,"
Sam Smith ",2018
63,5th April to 29th September 2019,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Underbelly Festival ",2018
64,06th - 07th April 2018,SW1P 2PE,80 Vincent Square,"
RHS London Orchid Show and Plant Fair ",2018
65,06th - 14th April 2019,WC2R 1LA,Strand,"
Now Play This ",2018
66,06th April - 20th May 2018,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Circus Abyssinia: Ethiopian Dreams ",2018
67,09th April - 29th July 2018,WC2N 5DN,Trafalgar Square,"
Monet and Architecture ",2018
68,09th April 2018,SE1 8XX,Belvedere Road,"
Chineke! Orchestra ",2018
69,10th - 29th April 2018,SE1 8XX,Belvedere Road,"
Concrete Dreams ",2018
70,11th - 13th April 2018,HA9 0DH,"Arena Square, Engineers Way","
Arcade Fire ",2018
71,28th - 31st March 2019,E1 6QL,91 Brick Lane,"
The London Coffee Festival ",2018
72,12th - 21st April 2018,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Voices Of America ",2018
73,12th - 14th April 2018,W12 7RJ,"Wood Lane, White City","
Live at Television Centre Festival ",2018
74,12th - 27th April 2018,WC2E 9DD,Bow Street,"
Royal Opera: Lady Macbeth of Mtsensk ",2018
75,12th April 2018,N12 0GA,"5 Nether Street, Tally Ho Corner","
Gandini Juggling and Alexander Whitley: Spring ",2018
76,13th April 2018,SE1 8XX,Belvedere Road,"
Concrete Lates ",2018
77,14th April - 05th May 2018,EC2Y 8DS,Silk Street,"
The Encounter ",2018
78,14th April - 23rd June 2018,SE1 9PX,"South Bank, South Bank","
The National Theatre at The Old Vic 1963-1976 ",2018
79,14th - 15th April 2018,E16 1XL,"One Western Gateway, Royal Victoria Dock","
The National Wedding Show ",2018
80,18th - 21st April 2018,EC2Y 8DS,Silk Street,"
Viviana Durante Company - Kenneth MacMillan: Steps Back in Time ",2018
81,18th April - 16th June 2018,SE1 9PX,South Bank,"
Absolute Hell ",2018
82,19th April - 07th May 2018,SW1Y 4DN,6 Panton Street,"
Cirque Berserk! ",2018
83,20th - 30th April 2018,WC2N 5DW,London,"
La Linea ",2018
84,21st April - 30th June 2018,SE1 8NB,103 The Cut,"
Mood Music ",2018
85,21st April - 27th January 2019,SW7 2RL,Cromwell Road,"
Fashioned From Nature ",2018
86,22nd April 2019,W2 2UH,Rangers Lodge,"
The Queen's Birthday Gun Salutes ",2018
87,20th April 2019,WC2N 5DS,Central London,"
Feast of St George in Trafalgar Square ",2018
88,28th April 2019,SW1Y 5AH,Westminster,"
Virgin London Marathon ",2018
89,23rd - 24th April 2018,EC1R 4TN,Rosebery Avenue,"
Cecilia Bengolea & Francois Chaignaud: DFS ",2018
90,18th April to 6th May 2019,WC2R 1LA,Strand,"
Sony World Photography Awards Exhibition ",2018
91,24th - 28th April 2018,SW19 1QG,The Broadway,"
Awful Auntie ",2018
92,25th April 2018,SW7 2AP,Kensington Gore,"
Eliades Ochoa ",2018
93,25th April - 26th August 2018,SE1 9DT,"21 New Globe Walk, Bankside","
Hamlet ",2018
94,28th - 31st March 2019,N22 7AY,"Alexandra Palace Way, Wood Green","
Country Living Magazine Spring Fair ",2018
95,26th April - 02nd June 2018,WC2N 4ES,St Martin's Lane,"
Chess ",2018
96,26th April - 29th July 2018,WC1B 3DG,Great Russell Street,"
Rodin and the art of ancient Greece ",2018
97,26th - 29th April 2018,E2 9DY,29-32 The Oval,"
Prosecco Springs ",2018
98,26th - 28th April 2018,EC1R 4TN,Rosebery Avenue,"
BalletBoyz: Fourteen Days ",2018
99,27th April - 02nd June 2018,NW1 2AJ,100-110 Euston Road,"
London Burlesque Festival ",2018
100,28th April - 03rd June 2018,SE1 2SG,3 Potters Fields Park,"
Nightfall ",2018
101,28th - 29th April 2018,N1C 4AA,Good's Way,"
Classic Car Boot Sale ",2018
102,28th April 2018,EC2A 2BF,89 Worship Street,"
Margarita Rumble ",2018
103,27th April 2019,WC2N 5DS,Central London,"
Vaisakhi Festival ",2018
104,02nd May - 14th October 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Shape of Light: 100 Years of Photography and Abstract Art ",2018
105,02nd May - 02nd June 2018,N4 3JP,11 Clifton Terrace,"
Building The Wall ",2018
106,02nd May - 28th June 2018,SW7 2AP,Kensington Gore,"
Festival of Science: Space ",2018
107,25th - 28th April 2019,W1J 0BD,Burlington House,"
London Original Print Fair ",2018
108,03rd - 07th May 2018,SE1 8XX,Belvedere Road,"
KERB Does Alchemy ",2018
109,04th - 13th May 2018,SW11 2TB,Este Road,"
Battersea Circus Garden ",2018
110,3rd to 19th May 2019,SW18 4ES,356 Garratt Lane,"
Wandsworth Arts Fringe ",2018
111,"3rd, 4th and 5th May 2019",EC1R 4TN,Rosebery Avenue,"
Breakin' Convention ",2018
112,05th May 2018,W6 9QH,45 Queen Caroline Street,"
Bill Bailey: Larks In Transit ",2018
113,"4th, 5th and 6th May 2019",W2 1TH  ,Maida Vale,"
Canalway Cavalcade ",2018
114,Saturday 4th May 2019,XX1 0LL,London,"
The Tweed Run ",2018
115,Saturday 4th and Sunday 5th May 2019,E15 2EE,Olympic Park,"
Arcadia London ",2018
116,06th - 07th May 2018,W10 5TY,Portobello Road,"
Portobello Live! ",2018
117,06th May - 28th August 2018,EC3N 4AB,Tower Hill,"
The Last Days of Anne Boleyn ",2018
118,09th - 12th May 2018,EC1R 4TN,Rosebery Avenue,"
Cloud Gate Dance Theatre of Taiwan: Formosa ",2018
119,"9th, 10th, 11th and 12th May 2019",NW3 1TH,East Heath Road,"
Affordable Art Fair Hampstead ",2018
120,10th May - 07th October 2018,W8 6AG,224-238 Kensington High Street,"
Azzedine Alaia: The Couturier ",2018
121,10th - 13th May 2018,EC2Y 8DS,Silk Street,"
Julie Cunningham & Company: Crave ",2018
122,"10th, 11th and 12th May 2019",E1 6QL,91 Brick Lane,"
Balance Festival ",2018
123,11th May - 11th November 2018,EC2Y 5HN,150 London Wall,"
London Nights ",2018
124,12th May - 04th November 2018,SW7 2RL,Cromwell Road,"
The Future Starts Here ",2018
125,12th May 2018,E1 6BX,9-11 Folgate Street,"
Eurovision Party at The Water Poet ",2018
126,13th May 2018,SW7 2AP,Kensington Gore,"
Planet Earth II Live in Concert ",2018
127,13th May 2018,WC2E 9ED,Bedford Street,"
Covent Garden May Fayre and Puppet Festival ",2018
128,18th June to 19th July 2019,EC2Y 9HU,1 Ropemaker Street,"
The Nomad Cinema 2018 ",2018
129,16th - 19th May 2018,EC2Y 8DS,Silk Street,"
The Royal Ballet: Elizabeth ",2018
130,17th May - 15th June 2018,NW1 4NR,"Inner Circle, Regent's Park","
J.M. Barrie's Peter Pan ",2018
131,17th May - 09th September 2018,NW1 4NR,"Inner Circle, Regent's Park","
Open Air Theatre ",2018
132,18th May 2018,SW9 9SL,211 Stockwell Road,"
Rita Ora ",2018
133,18th May - 18th August 2018,SW1A 2DY,14 Whitehall,"
Killer Joe ",2018
134,19th May 2018,SE1 8XX,Belvedere Road,"
Nigel Kennedy ",2018
135,19th May 2018,HA9 0WS,Wembley,"
FA Cup Final ",2018
136,19th May 2018,W1D 6BL,4 Coventry Street,"
Cafe de Paris: Royal Wedding Show ",2018
137,19th May 2018,SL4 1NJ,Windsor and Maidenhead,"
The Royal Wedding: Prince Harry and Meghan Markle ",2018
138,Various Venues,WC2N 5DW,London,"
The Luna Cinema 2018  ",2018
139,19th - 27th May 2018,WC2N 5DW,London,"
Chelsea Fringe ",2018
140,20th May 2018,SE10 0PE,1 Green Place,"
Urban Village Fete ",2018
141,Sunday 19th May 2019,E2 8LS,Weymouth Terrace,"
Midcentury East ",2018
142,21st - 26th May 2018,SW1W 8EE,"7 Sloane Square, Chelsea","
Chelsea in Bloom ",2018
143,21st to 25th May 2019,SW3 4SR,Royal Hospital Road,"
RHS Chelsea Flower Show ",2018
144,22nd May - 11th August 2018,SE1 8XZ,South Bank,"
Translations ",2018
145,22nd May - 09th September 2018,SE1 7JY,Lambeth Palace Road,"
Zip Now London ",2018
146,"21st, 22nd and 23rd May 2019",EC1M 4DA,"St. Johns Gate, 26 St. John's Lane, Clerkenwell","
Clerkenwell Design Week ",2018
147,25th May - 28th July 2018,SW1Y 4HT,Haymarket,"
Tartuffe ",2018
148,25th May - 23rd June 2018,SE1 6BD,77-85 Newington Causeway,"
The Rink ",2018
149,25th May - 22nd July 2018,WC2N 5DW,London,"
LIFT Festival ",2018
150,24th May to 2nd June 2019,E3 5SN,"Grove Road, Tower Hamlets","
All Points East ",2018
151,25th - 27th May 2018,RM14 2TN,"Aveley Road, Upminster","
We Are FSTVL ",2018
152,Saturday 25th May 2019,SW1A 2AX,Whitehall,"
The Major General's Review ",2018
153,"25th, 26th and 27th May 2019",TW8 8JF,"London Road, Brentford","
Foodies Festival, Syon Park ",2018
154,26th - 28th May 2018,E2 8EA,136 Kingsland Road,"
The London Cheese Project ",2018
155,Sunday 26th May 2019,SE15 3UA,Strakers Road,"
Gala Festival ",2018
156,Monday 27th May 2019,SE15 3UA,Strakers Road,"
KERB: Jam on Rye ",2018
157,4th June to 3rd August 2019,W8 6LU,Holland Park,"
Opera Holland Park ",2018
158,29th May - 09th June 2018,EC1R 4TN,Rosebery Avenue,"
Akram Khan Company: XENOS ",2018
159,29th May - 11th August 2018,SW1Y 4DN,6 Panton Street,"
Consent ",2018
160,30th May - 19th August 2018,SE1 8XZ,Belvedere Road,"
Lee Bul: Wayward Wander ",2018
161,31st May - 04th August 2018,SE1 9PX,South Bank,"
Julie ",2018
162,16th May to 8th June 2019,NW1 4NR,"Inner Circle, Regent's Park","
Our Town ",2018
163,Friday 7th and Saturday 8th June 2019,N18 3BW,Argon Road Enfield,"
Field Day 2018 ",2018
164,01st - 02nd June 2018,EC2Y 8DS,Silk Street,"
Boy Blue Entertainment: A Night with Boy Blue ",2018
165,01st - 02nd June 2018,W1D 3QF,London,"
The Pudding Kitchen ",2018
166,Various Venues,WC2N 5DW,London,"
London Festival of Architecture ",2018
167,01st June - 04th August 2018,W1W 8DX,46 Eastcastle Street,"
Beat Positive ",2018
168,02nd June - 13th July 2018,N15 4RX,Town Hall Approach Road,"
Small Wonders by Punchdrunk ",2018
169,Sunday 30th June 2019,E16 2QT,Docklands Road,"
London Hong Kong Dragon Boat Festival ",2018
170,03rd June 2018,SE24 0PA,Norwood Road,"
Mighty Hoopla ",2018
171,04th June - 28th July 2018,WC2H 9LD,"41 Earlham Street, Seven Dials","
The Prime of Miss Jean Brodie ",2018
172,05th June - 16th September 2018,SW1P 4RG,Millbank,"
Aftermath: Art In The Wake Of World War One ",2018
173,7th to 21st June 2019,KT8 9AU,"East Molesey, Surrey","
Hampton Court Palace Festival ",2018
174,06th June - 07th July 2018,N4 3JP,11 Clifton Terrace,"
Monogamy ",2018
175,06th - 16th June 2018,WC2N 4ES,St Martin's Lane,"
English National Ballet: The Sleeping Beauty ",2018
176,07th June - 18th July 2018,SE1 9PX,South Bank,"
An Octoroon ",2018
177,08th - 18th June 2018,N1C 4UZ,York Way,"
Phobiarama by Dries Verhoeven ",2018
178,08th - 24th June 2018,SE10 0PE,1 Green Place,"
Secret 7'' ",2018
179,"7th, 8th and 9th June 2019",SW6 3NG,Hurlingham Road,"
Polo in the Park ",2018
180,08th June - 14th October 2018,SW1A 1AA,Birdcage Walk,"
Splendours of the Subcontinent ",2018
181,08th - 10th June 2018,N1C 4AA,Good's Way,"
Noshville ",2018
182,Various Venues,WC2N 5DW,London,"
Open Garden Squares Weekend ",2018
183,15th June - 07th October 2018,W2 3XA,Kensington Gardens,"
Serpentine Pavilion 2018 ",2018
184,Saturday 8th June 2019,SW1A 2AX,Whitehall,"
Trooping the Colour ",2018
185,09th - 10th June 2018,W1D 6AF,Wardour Street,"
Soho Food Feast ",2018
186,09th - 10th June 2018,W4 5LQ,Hardwicke Road,"
Green Days Fete and Craft Fair ",2018
187,10th June 2018,W1K 7AJ,London,"
PROCESSIONS ",2018
188,11th June - 07th October 2018,WC2N 5DN,Trafalgar Square,"
Thomas Cole's Journey ",2018
189,11th June - 07th October 2018,WC2N 5DN,Trafalgar Square,"
Ed Ruscha: Course of Empire ",2018
190,10th June to 12th August 2019,W1J 0BD,Burlington House,"
Royal Academy Summer Exhibition ",2018
191,12th June - 19th August 2018,W1J 0BD,Burlington House,"
The Great Spectacle: 250 Years of the Summer Exhibition ",2018
192,19th to 23rd Jun 2019,NW1 4NR,Inner Circle,"
Taste of London ",2018
193,Thursday 13th and Friday 14th June 2019,SW3 4SR,Royal Hospital Road,"
Live At Chelsea ",2018
194,14th - 15th June 2018,SE10 0BB,Peninsula Square,"
Katy Perry ",2018
195,13th June to 20th October 2019,WC2H 0HE,St Martin's Place,"
BP Portrait Award ",2018
196,"14th, 15th and 16th June 2019",NW3 7JR,"Hampstead Lane, Hampstead","
Heritage Live Concerts: Kenwood House ",2018
197,15th June 2018,SW7 2AP,Kensington Gore,"
Space Shambles ",2018
198,15th - 16th June 2018,SE10 9LS,"Maritime Greenwich University Campus, Park Row","
Greenwich Book Festival ",2018
199,3rd to 11th August 2019,SE1 8XX,Belvedere Road,"
Meltdown Festival 2018 ",2018
200,16th June - 04th November 2018,SW7 2RL,Cromwell Road,"
Frida Kahlo: Making Her Self Up ",2018
201,Saturday 22nd and Sunday 23rd June 2019,WC2N 5DS,Central London,"
West End LIVE ",2018
202,18th June - 01st September 2018,SE1 8LZ,66 The Cut,"
Fun Home ",2018
203,19th to 23rd Jun 2019,W14 8UX,Hammersmith Road,"
House & Garden Festival ",2018
204,19th to 23rd Jun 2019,W14 8UX,Hammersmith Road,"
GROW London ",2018
205,20th - 30th June 2018,WC2N 4ES,St Martin's Lane,"
Kiss Me, Kate ",2018
206,19th to 28th June 2019,W14 8UX,Hammersmith Road,"
The Art & Antiques Fair Olympia ",2018
207,21st - 24th June 2018,EC2Y 8DS,Silk Street,"
The Town Hall Affair: The Wooster Group ",2018
208,16th June - 03rd November 2018,WC2N 5DE,Northumberland Avenue,"
The Jungle ",2018
209,21st June to 6th July 2019,SE10 9HF,London,"
Greenwich and Docklands International Festival ",2018
210,21st June - 29th September 2018,W1F 7TF,8 Argyll Street,"
The King & I ",2018
211,22nd - 30th June 2018,NW1 4NR,"Inner Circle, Regent's Park","
The Turn Of The Screw ",2018
212,22nd June 2018,SE1 9TG,London,"
Secret Cinema: Love Gathering ",2018
213,23rd June - 08th September 2018,WC2N 4AU,St Martin's Lane,"
The Lieutenant Of Inishmore ",2018
214,23rd - 24th June 2018,E1W 2SF,50 Porters Walk,"
Sweatlife ",2018
215,Saturday 15th June 2019,W12 7LJ,310 Uxbridge Road,"
Bushstock Festival ",2018
216,27th June - 18th August 2018,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Circa Peepshow ",2018
217,14th June - 08th September 2018,W1D 6AR,Shaftesbury Avenue,"
Imperium Part I: Conspirator ",2018
218,28th June - 21st October 2018,WC2H 0HE,St Martin's Place,"
Michael Jackson: On the Wall ",2018
219,27th Jun to 3rd Jul 2019,SW3 4SR,Royal Hospital Road,"
Masterpiece London ",2018
220,28th June - 09th July 2018,W4 2RP,Burlington Lane,"
Giffords Circus: My Beautiful Circus ",2018
221,7th to 28th July 2019,W1B 5SJ,Regent Street,"
Regent Street Summer Streets ",2018
222,01st July 2018,SE1 8XX,Belvedere Road,"
TEDxLondon: Beyond Borders ",2018
223,01st July - 12th August 2018,N1C 4AY,Handyside Street,"
Cubitt Sessions ",2018
224,1st to 7th Jul 2019,KT8 9AU,"East Molesey, Surrey","
RHS Hampton Court Palace Flower Show ",2018
225,1st to 14th July 2019,SW19 5AE,Church Road,"
Wimbledon Lawn Tennis Championships 2018 ",2018
226,1st to 7th Jul 2019,SE10 9LW,King William Walk,"
Greenwich Music Time ",2018
227,03rd July - 30th September 2018,SE1 7NN,10 Leake Street,"
Sounds and Sorcery celebrates Disney FANTASIA ",2018
228,04th July - 22nd September 2018,SE1 9PX,South Bank,"
The Lehman Trilogy ",2018
229,04th - 07th July 2018,WC1B 5BL,Bedford Square,"
Bedford Square Festival ",2018
230,11th to 21st July 2019,WC2R 1LA,Strand,"
Somerset House Summer Series ",2018
231,05th July - 04th September 2018,W1S 2XG,9 Conduit Street,"
Women Empowered ",2018
232,06th - 28th July 2018,NW1 4NR,"Inner Circle, Regent's Park","
As You Like It ",2018
233,"12th, 13th and 14th July 2019",W2 2UH,Rangers Lodge,"
British Summer Time Hyde Park ",2018
234,"5th, 6th and 7th July 2019",N4 1EE,Endymion Road,"
Wireless Festival ",2018
235,07th July - 25th August 2018,SE1 8NB,103 The Cut,"
A Monster Calls ",2018
236,07th July 2018,SE1 8XZ,Belvedere Road,"
Art Night London 2018 ",2018
237,Saturday 6th July 2019,WC2N 5DS,Central London,"
Pride in London Parade ",2018
238,08th July 2018,HA9 0WS,London,"
The Color Run ",2018
239,10th - 15th July 2018,TW9 3AB,"Kew, Richmond","
Kew the Music ",2018
240,11th - 29th July 2018,EC2Y 8DS,Silk Street,"
Barry Humphries: Weimar Cabaret ",2018
241,11th July - 28th September 2018,SE1 2SG,3 Potters Fields Park,"
Allelujah! ",2018
242,11th July - 11th August 2018,XX1 0LL,London,"
The Great Masked Ball: Swan Lake ",2018
243,Friday 12th and Saturday 13th July 2019,W3 8LQ,Popes Lane,"
Lovebox ",2018
244,5th July to 4th August 2019,SE1 9PX,"South Bank, South Bank","
River Stage Festival ",2018
245,13th July - 06th January 2019,SW7 5BD,Cromwell Road,"
Life in the Dark ",2018
246,13th - 14th July 2018,SE10 0BB,Peninsula Square,"
The Muppets Take The O2 ",2018
247,15th July 2018,W3 8LQ,Popes Lane,"
Citadel Festival ",2018
248,17th July - 08th September 2018,SE1 8XZ,South Bank,"
Exit the King ",2018
249,17th July - 19th August 2018,SE1 8XX,Belvedere Road,"
Nelson Mandela: The Centenary Exhibition 2018 ",2018
250,19th - 22nd July 2018,SE1 8XX,Belvedere Road,"
Africa Utopia ",2018
251,20th July - 20th October 2018,WC2R 0NH,404 Strand,"
The Importance Of Being Earnest ",2018
252,20th July - 30th August 2018,SW1P 2PE,80 Vincent Square,"
Sea Creatures ",2018
253,20th - 21st July 2018,N1C 4UZ,York Way,"
KERB: The Bucket List ",2018
254,21st July - 30th September 2018,SW1A 1AA,Buckingham Palace Road,"
Prince and Patron ",2018
255,21st July 2018,N22 7AY,"Alexandra Palace Way, Wood Green","
Kaleidoscope Festival ",2018
256,20th July to 29th September 2019,SW1A 1AA,Buckingham Palace Road,"
Summer Opening of the State Rooms at Buckingham Palace ",2018
257,24th July - 05th September 2018,SE1 9PX,South Bank,"
Home, I'm Darling ",2018
258,25th July - 07th August 2018,WC2R 1LA,Strand,"
Circus Originals ",2018
259,Saturday 3rd August 2019,SW1A 2BJ,Horse Guards Road,"
Brompton World Championship Final ",2018
260,Saturday 3rd August 2019,SW1Y 5AH,Westminster,"
RideLondon FreeCycle ",2018
261,28th July - 05th August 2018,WC2R 1LA,Strand,"
Circus Sampler ",2018
262,Sunday 10th August 2014 - 7am-5pm,E15 2EE,Olympic Park,"
Prudential RideLondon-Surrey 100 ",2018
263,Sunday 4th August 2019,SW1Y 5AH,Westminster,"
Prudential RideLondon Classic ",2018
264,30th July 2018 to 14th July 2019,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Magic Realism: Art in Weimar Germany 1919-33 ",2018
265,30th July - 17th September 2018,W1K 3NF,8 Mount Street,"
Jamavar Women's Club ",2018
266,31st July - 26th August 2018,NW1 8EH,Chalk Farm Road,"
Club Swizzle ",2018
267,1st to 31st August 2019,WC2H 7BP,London,"
Kids Week ",2018
268,01st - 19th August 2018,EC1R 4TN,Rosebery Avenue,"
Carmen La Cubana ",2018
269,01st - 31st August 2018,E1 6QL,91 Brick Lane,"
V For ",2018
270,02nd August - 01st September 2018,SE1 6BD,77-85 Newington Causeway,"
Bring It On: The Musical ",2018
271,02nd August - 22nd September 2018,WC2H 9LD,"41 Earlham Street, Seven Dials","
Aristocrats ",2018
272,02nd August - 02nd September 2018,WC2E 9ED,Bedford Street,"
The Three Musketeers ",2018
273,03rd August - 15th September 2018,NW1 4NR,"Inner Circle, Regent's Park","
Little Shop of Horrors ",2018
274,"9th, 10th and 11th August 2019",E1W 2SF,50 Porters Walk,"
London Craft Beer Festival ",2018
275,04th - 06th April 2019,SE1 7NN,10 Leake Street,"
Cocktails In The City ",2018
276,03rd - 05th August 2018,WC1N 1DN,93 Guilford Street,"
Pop Up Screens: Coram's Fields ",2018
277,Saturday 3rd and Sunday 4th August 2019,SM4 5QX,"London Road, Merton","
Eastern Electrics Festival ",2018
278,04th August 2018,EC2M 7QH,Walthamstow,"
Visions Festival ",2018
279,04th - 05th August 2018,E15 2EE,Olympic Park,"
London Wing Fest ",2018
280,06th - 11th August 2018,SE4 2BY,350 Brockley Road,"
Some Voices ",2018
281,07th - 11th August 2018,W14 8UX,Hammersmith Road,"
The Great British Beer Festival ",2018
282,07th - 12th August 2018,SE1 8XX,Belvedere Road,"
Monstersaurus ",2018
283,08th August - 30th September 2018,SE1 7LB,Lambeth Palace Road,"
Flower Fairies: Botanical Magic ",2018
284,08th - 25th August 2018,XX1 0LL,Central London,"
Secret Cinema: Romeo and Juliet ",2018
285,08th August - 02nd September 2018,SE1 2DB,The Queen's Walk Bridge City,"
Free Open Air Theatre at The Scoop ",2018
286,08th August - 01st September 2018,SE1 9PX,South Bank,"
The Star Seekers ",2018
287,8th to 21st August 2019,WC2R 1LA,Strand,"
Film4 Summer Screen at Somerset House ",2018
288,"12th, 13th and 14th July 2019",W4 2RP,Burlington Lane,"
Great British Food Festival ",2018
289,10th - 12th August 2018,W6 0SL,Ravenscourt Avenue,"
Pop Up Screens: Ravenscourt Park ",2018
290,11th August 2018,W1F 7DN,Carnaby Street,"
Carnaby Street Eat ",2018
291,13th - 15th August 2018,EC2P 2EJ,Gresham Street,"
Pop Up Screens: Guildhall Yard ",2018
292,14th August - 09th September 2018,NW1 4NR,"Inner Circle, Regent's Park","
Dinosaur World Live ",2018
293,14th - 19th August 2018,SE10 0BB,Peninsula Square,"
Walking with Dinosaurs ",2018
294,16th - 19th August 2018,WC2N 5DW,London,"
Mr Black's Espresso Martini Festival ",2018
295,17th - 19th August 2018,SE1 8XX,Belvedere Road,"
Circus 250 Weekend ",2018
296,Saturday 17th August 2019,EN4 0PS,Cockfosters Road,"
Elrow Town ",2018
297,22nd August - 30th September 2018,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Black Cat: Bohemia ",2018
298,22nd August - 02nd September 2018,WC2N 4ES,St Martin's Lane,"
St Petersburg Ballet Theatre: Swan Lake ",2018
299,23rd - 27th August 2018,E3 5SN,"Grove Road, Tower Hamlets","
MAKEMORE ",2018
300,23rd - 27th August 2018,SE1 8XX,Belvedere Road,"
How to Catch a Star ",2018
301,23rd - 25th August 2018,WC2R 1LA,Strand,"
Shechter Underground at Somerset House ",2018
302,24th - 25th August 2018,SE10 0BB,Peninsula Square,"
Britney: Piece of Me ",2018
303,23rd to 28th Aug 2019,N22 7AY,"Alexandra Palace Way, Wood Green","
The Monster ",2018
304,25th - 26th August 2018,EC1A 9PQ,West Smithfield,"
Smithfield 150 ",2018
305,25th - 26th August 2018,SW4 9DE,Windmill Drive,"
South West Four ",2018
306,"24th, 25th and 26th August 2019",KT8 9AU,"East Molesey, Surrey","
Hampton Court Palace Food Festival ",2018
307,25th - 27th August 2018,SW19 7HX,Wimbledon Park,"
Wimbledon Park Food Festival ",2018
308,25th August 2018,WC1B 4DA,"Victoria House, 37-63 Bloomsbury Square","
London Cabaret Club: Summer Bank Holiday Carnival Special ",2018
309,Saturday 24th and Sunday 25th August 2019,W11 3AG,London,"
Notting Hill Carnival ",2018
310,26th - 28th August 2018,SE1 8XZ,South Bank,"
Pericles ",2018
311,30th August 2018,NW6 6SG,Kingswood Avenue,"
Nomad Cinema: Queens Park: The Adventures Of Priscilla ",2018
312,30th August - 13th October 2018,NW3 3EU,Eton Avenue,"
The Humans ",2018
313,31st August - 02nd September 2018,E1W 2SF,50 Porters Walk,"
Meatopia ",2018
314,31st August 2018,SE1 8XX,"Jubilee Gardens, Belvedere Road","
The Silent Disco Show ",2018
315,01st - 22nd September 2018,SE1 8NB,103 The Cut,"
ZooNation: The Kate Prince Company: Sylvia ",2018
316,Saturday 31st August and Sunday 1st September 2019,E1 6QL,91 Brick Lane,"
London Brunch Fest ",2018
317,1st to 30th September 2019,WC2H 7BP,London,"
Totally Thames ",2018
318,04th - 23rd September 2018,WC2R 1LA,Strand,"
London Design Biennale ",2018
319,05th - 29th September 2018,SW1Y 6LT,16B Jermyn Street,"
About Leo ",2018
320,05th - 07th September 2018,SW10 9UG,Fulham Road,"
Nomad Cinema: Brompton Cemetery ",2018
321,05th - 09th September 2018,SE1 8XX,Belvedere Road,"
Unlimited Festival ",2018
322,05th September - 06th October 2018,NW6 7JR,269 Kilburn High Road,"
Holy Sh!t ",2018
323,06th - 08th September 2018,EC2Y 8DS,Silk Street,"
The Second Violinist ",2018
324,06th September - 20th January 2019,WC1B 3DG,Great Russell Street,"
I Object: Ian Hislop's search for dissent ",2018
325,06th September - 20th October 2018,W12 8LJ,7 Uxbridge Road,"
An Adventure ",2018
326,06th September - 28th January 2019,SW11 5TN,Lavender Hill,"
Phoenix Season ",2018
327,06th - 15th September 2018,SW11 5TN,Lavender Hill,"
Missing ",2018
328,06th September - 05th January 2019,WC2H 9ND,West Street,"
Foxfinder ",2018
329,06th September - 20th October 2018,SW1Y 4DN,6 Panton Street,"
Pinter At The Pinter: One For The Road / The New World Order / Mountain Language / Ashes To Ashes ",2018
330,07th September 2018,E1 0HX,490 Commercial Road,"
Revive at Studio 5: Havana Moon ",2018
331,07th - 09th September 2018,EC3N 4AB,Tower Hill,"
Tower of London Food Festival ",2018
332,07th - 09th September 2018,E1W 1LA,"Tower Bridge Approach, St Katharine's Way","
St Katharine Docks Classic Boat Festival ",2018
333,07th - 16th September 2018,W1S 3ES,6 Burlington Gardens,"
Festival of Ideas ",2018
334,08th September - 24th February 2019,SW7 2RL,Cromwell Road,"
Videogames ",2018
335,Saturday 14th September 2019,WC2H 7BP,London,"
The Great River Race ",2018
336,Saturday 13th and Sunday 14th July 2019,SE3 0UA,Shooters Hill Road,"
OnBlackheath ",2018
337,08th September 2018,SW7 2AP,Kensington Gore,"
Prom 75: Last Night Of The Proms ",2018
338,Saturday 14th September 2019,W2 2UH,Rangers Lodge,"
BBC Proms in the Park ",2018
339,10th September 2018,SE1 8XX,Belvedere Road,"
Chilly Gonzales ",2018
340,11th September - 12th January 2019,SE1 7NN,10 Leake Street,"
Divine Proportions ",2018
341,12th - 15th September 2018,EC2Y 8DS,Silk Street,"
Boy Blue Entertainment: Blak Whyte Gray ",2018
342,12th - 16th September 2018,EC1R 4TN,Rosebery Avenue,"
Natalia Osipova: Pure Dance ",2018
343,13th September - 20th October 2018,SW1Y 4DN,6 Panton Street,"
Pinter At The Pinter: The Lover / The Collection ",2018
344,14th September - 20th January 2019,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Christian Marclay: The Clock ",2018
345,15th September - 20th January 2019,W1J 0BD,Burlington House,"
Renzo Piano ",2018
